Agile Web Development with Rails,"Sam Ruby, Dave Thomas, David Heinemeier Hansson",Web development,2010,472,"[4, 3, 3]",FALSE,0
Flask Web Development,Miguel Grinberg,"python,pyhton web development,flask",1998,489,"[7, 5, 8]",FALSE,1
Agile web development with rails: a Pragmatic guide,"Dave Thomas, David Heinemeier Hansson, Leon Breedt, Mike Clark, Thomas Fuchs, Andrea Schwarz","'Web site development -- Handbooks, manuals, etc.','Ruby (Computer program language) -- Handbooks, manuals, etc.','Sites Web -- DeРњРѓveloppement -- Guides, manuels, etc.','Ruby (Langage de programmation) -- Guides, manuels, etc.'",2005,554,"[3, 5, 5]",TRUE,2
CakePHP Application Development: Step-by-step introduction to rapid web development using the open-source MVC CakePHP framework,"Ahsanul Bari, Anupom Syam",Computer Science/Web/Server Side Scripting/PHP,2008,328,"[9, 5, 7]",TRUE,3
"Alex Homer, ASP.NET 2.0 Visual Web Developer 2005",David Sussman,"Компьютерная литература\11 web строительство\Web - строительство, ASP.NET\",2006,314,"[4, 6, 8]",TRUE,4
"PHP Oracle Web Development: Data processing, Security, Caching, XML, Web Services, and Ajax: A practical guide to combining the power, performance, scalability, ... time, and high performance of PHP",Yuli Vasiliev,Computer Science/Web/Server Side Scripting/PHP,2007,392,"[3, 8, 8]",FALSE,5
WordPress for Web Developers: An Introduction for Web Professionals,Stephanie Leary (auth.),Computers\\Web-design,2013,356,"[8, 9, 2]",FALSE,6
MODx Web Development,"Antano Solar John, Antano Solar John",Computer Science/Web/Server Side Scripting/PHP,2009,276,"[2, 4, 7]",FALSE,7
Grok 1.0 Web Development,Carlos de la Guardia,Computing -Web,2010,307,"[7, 6, 2]",FALSE,8
Professional JavaScript for Web Developers,Nicholas C. Zakas,Computing -Web,2009,841,"[5, 4, 3]",FALSE,9
"Art of Java Web Development: Struts, Tapestry, Commons, Velocity, JUnit, Axis, Cocoon, InternetBeans, WebWork",Neal Ford,"computers, computers/web",2003,624,"[7, 9, 5]",TRUE,10
Agile.Web.Development.with.Rails.4th.Edition,the pragmatic programmers,web programming,2008,775,"[8, 1, 2]",FALSE,11
Beginning CSS Web Development: From Novice to Professional,Simon Collison,Компьютеры//Web-дизайн,2006,448,"[3, 2, 8]",FALSE,12
"Beginning PHP 6, Apache, MySQL 6 Web Development",Timothy Boronczyk,КНИГИ  WEB-СОЗИДАНИЕ,2009,189,"[1, 3, 1]",FALSE,13
"Web development solutions : Ajax, APIs, libraries, and hosted services made easy",Christian Heilmann; Mark Norman Francis,Computers\\Web-design,1995,268,"[3, 3, 6]",FALSE,14
Instant Web Scraping with Java,Ryan Mitchell,Web Development,1993,364,"[5, 4, 2]",FALSE,15
"Beginning Smartphone Web Development: Building Javascript, CSS, HTML and Ajax-Based Applications for iPhone, Android, Palm Pre, Blackberry, Windows Mobile and Nokia S60","Gail Frederick, Rajesh Lal",Computers / Programming / Software Development,2010,366,"[5, 3, 1]",TRUE,16
Full Stack Web Development with Backbone.js,Patrick Mulder,Development,2005,188,"[5, 1, 4]",TRUE,17
The Microsoft Expression Web Developer's Guide to ASP.NET 3.5: Learn to create ASP.NET applications using Visual Web Developer 2008,Jim Cheshire,Computer science,2007,504,"[1, 1, 1]",TRUE,18
